CUENTA : 8328	 RFC INCORRECTO 
CUENTA : 9548	 RFC INCORRECTO 
CUENTA : 652	 RFC INCORRECTO 
CUENTA : 7928	 RFC INCORRECTO 
CUENTA : 8642	 RFC INCORRECTO 
CUENTA : 7947	 RFC INCORRECTO 
CUENTA : 278	 RFC INCORRECTO 
CUENTA : 775	 RFC INCORRECTO 
CUENTA : 1274	 RFC INCORRECTO 
CUENTA : 3289	 RFC INCORRECTO 
CUENTA : 3441	 RFC INCORRECTO 
CUENTA : 6663	 RFC INCORRECTO 
CUENTA : 7968	 RFC INCORRECTO 
CUENTA : 10	 EL ESTADO ES REQUERIDO 
CUENTA : 31	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 41	 EL ESTADO ES REQUERIDO 
CUENTA : 43	 LA COLONIA ES REQUERIDA 
CUENTA : 53	 NO TIENE UN RFC VALIDO 
CUENTA : 58	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 90	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 108	 EL ESTADO ES REQUERIDO 
CUENTA : 122	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 164	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 176	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 181	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 198	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 257	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 283	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 289	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 306	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 321	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 331	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 359	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 386	 NO TIENE UN RFC VALIDO 
CUENTA : 391	 EL ESTADO ES REQUERIDO 
CUENTA : 396	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 404	 EL ESTADO ES REQUERIDO 
CUENTA : 406	 NO TIENE UN RFC VALIDO 
CUENTA : 412	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 413	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 441	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 442	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 452	 EL ESTADO ES REQUERIDO 
CUENTA : 476	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 538	 LA RAZON SOCIAL ES REQUERIDA
